id,createdTime,name_th,name_en,description_th,description_en,category,problem
rec3zBC5seiqkz4G7,2025-06-12T02:37:10.000Z,วงกบประตู/หน้าต่าง,Door/Window Frame,วงกบหรือกรอบที่ใช้ติดตั้งประตูหรือหน้าต่างกับผนัง,Frame that holds and mounts a door or window to the wall,['recsXPvO3N0bCcrdI'],"['rec5cItMuQaEmoEIa', 'recrd9rXbxrLmaLhs', 'receATgPFQqMo4dZC']"
rec4VgF52fl7nLt6S,2025-06-12T02:37:10.000Z,เจลหรือเหยื่อกำจัดมด,Ant Bait Gel,เจลหรือเหยื่อล่อมดมีสารกำจัดมด นำไปวางตามทางเดินมด,Ant bait gel containing insecticide placed along ant trails to eliminate colonies,['recw4QaCT2poaBn9I'],"['recwsonYZMeRi75Dm', 'recUPXHvx6i6Ve7Kk']"
rec5C5XUE1zXiw8Ms,2025-06-12T02:37:10.000Z,ราคาวัสดุอ้างอิง,Material Price Guide,รายการข้อมูลราคาวัสดุก่อสร้าง/อะไหล่โดยประมาณเพื่อใช้วางแผนงบ,Reference list of approximate prices for building materials/parts used in budgeting,['recZqMJtCiLXWEq9A'],['recIa4qwwETdrEQ0S']
rec5pgGNtdqXAb2MM,2025-06-12T02:37:10.000Z,เครื่องไล่แมลงอิเล็กทรอนิกส์,Ultrasonic Pest Repeller,อุปกรณ์อัลตราโซนิกไล่แมลง/หนู ปล่อยคลื่นเสียงที่มนุษย์ไม่ได้ยิน,"Ultrasonic device that emits sound waves to repel insects/rodents, inaudible to humans",['recw4QaCT2poaBn9I'],['recaO6dxe0HppKTbL']
rec8A5OTw8wcIhxMZ,2025-06-12T02:37:10.000Z,ถังเก็บน้ำ,Water Tank,ถังสำรองน้ำประปาเพื่อใช้งานในบ้าน,Water storage tank for household use,['rec9ArDSbCNYfNndQ'],['recVes6NAdwGS9CZU']
recCDzj1Yh4eWjydE,2025-06-12T02:37:10.000Z,ใบเสนอราคางานซ่อม,Repair Quote Document,ใบเสนอราคาจากผู้รับเหมา/ช่าง สำหรับประเมินค่าใช้จ่ายงานซ่อมหรือปรับปรุง,Quotation documents from contractors/technicians estimating costs for repairs or renovations,['recZqMJtCiLXWEq9A'],"['recIa4qwwETdrEQ0S', 'recNcsVy4qPETinu8']"
recCgwfww8OUZvgvD,2025-06-12T02:37:10.000Z,เราเตอร์อินเทอร์เน็ต,Wi-Fi Router,เราเตอร์กระจายสัญญาณ Wi-Fi ให้เครื่องใช้อินเทอร์เน็ตในบ้าน,Router that provides Wi-Fi signal for internet devices in the home,['recgptAmFNpAIHWK6'],"['recxsjCTLDOFFbpNz', 'recle5VxWpgPH0w7o', 'recewNHMZxNCOyNOp', 'recm3VSu1cYt6MV8V', 'recuGcsADLx4FdtIu']"
recChJ3APfFnTHelm,2025-06-12T02:37:10.000Z,ครอบสันหลังคา,Roof Ridge Cap,กระเบื้องหรือแผ่นครอบแนวสันหลังคาป้องกันการรั่ว,Cap tiles or pieces covering the roof ridge to prevent leaks,['recJf4LbHf2V6LcWD'],"['recVYKvvxXqkzKRJ3', 'reciVHX8OWS1IxLeh']"
recCzPrblUUtgYDgV,2025-06-12T02:37:10.000Z,ภาพและงานศิลป์,Wall Art/Decor,รูปภาพ กรอบรูป หรือชิ้นงานศิลปะที่ตกแต่งผนังภายในบ้าน,"Pictures, frames, or art pieces used to decorate interior walls",['recfXESPVeJYHAA2S'],"['rec281us7oEtid4a0', 'recVaeQxvxVSiWQkq']"
recDZlSkBf0Ypf8l3,2025-06-12T02:37:10.000Z,เครื่องปรับอากาศ,Air Conditioner Unit,เครื่องปรับอากาศสำหรับทำความเย็นในบ้าน,Air conditioning unit to cool the home,['recVtXvXZoA562Hwu'],"['recWDseEPuNsnVuqA', 'recaogGD3QlzOjxNG', 'recT3vKKrvx7pcWac', 'recCw5FrTwc4SUu1L']"
recDsWhlfk2tr2sDC,2025-06-12T02:37:10.000Z,โมเด็ม,Internet Modem,โมเด็มสำหรับรับสัญญาณอินเทอร์เน็ตจากผู้ให้บริการ,Modem device that receives internet signal from the service provider,['recgptAmFNpAIHWK6'],"['recxsjCTLDOFFbpNz', 'recewNHMZxNCOyNOp', 'recm3VSu1cYt6MV8V']"
recDvAJ5InYqjXVOg,2025-06-12T02:37:10.000Z,วัสดุอุดโป๊ว,Filler/Putty,วัสดุสำหรับอุดรอยแตกร้าวหรือรูบนผนัง/ไม้ก่อนทาสี,Material to fill cracks or holes in wall/wood before painting,['recVQYVQMIGODixim'],"['recH02h0y1IQhBnYl', 'rec41KAyDUAF6qEa9']"
recEI0i8tKAMne6b3,2025-06-12T02:37:10.000Z,ตัวขยายสัญญาณ Wi-Fi,Wi-Fi Extender,อุปกรณ์เพิ่มระยะหรือขยายความแรงสัญญาณ Wi-Fi ในบ้าน,Device that extends or boosts Wi-Fi signal range in the home,['recgptAmFNpAIHWK6'],"['recle5VxWpgPH0w7o', 'recm3VSu1cYt6MV8V']"
recEjxuY8F8u31N3i,2025-06-12T02:37:10.000Z,หลอดไฟ,Light Bulb,หลอดไฟให้แสงสว่างภายในบ้าน,Light bulb for indoor illumination,['recLrzzeh8MwysftK'],"['recKnKDWPpAxDpYke', 'recvq15EA1MRfi2BJ', 'recXKOreyzZJKaGpR']"
recEv228jDmetRzuK,2025-06-12T02:37:10.000Z,แผ่นปิดรอยต่อหลังคา,Roof Flashing,วัสดุแผ่น (โลหะ/ยาง) ปิดรอยต่อหลังคา ป้องกันน้ำรั่ว,Sheet material (metal/rubber) used to seal roof joints and prevent leaks,['recJf4LbHf2V6LcWD'],"['recVYKvvxXqkzKRJ3', 'reciVHX8OWS1IxLeh']"
recF8IIWUAptzB499,2025-06-12T02:37:10.000Z,เครื่องดูดฝุ่น,Vacuum Cleaner,อุปกรณ์ไฟฟ้าสำหรับดูดฝุ่นและสิ่งสกปรกจากพื้นและพรม,Electric appliance to vacuum dust and debris from floors and carpets,['recOh6JGeldBqeZrk'],"['recBCVrfACimQ8WIT', 'recNwCG7roHmoR3vE']"
recGBXLvKeldJDdin,2025-06-12T02:37:10.000Z,สนามหญ้า,Lawn,พื้นที่ปลูกหญ้าสีเขียวในสวนรอบบ้าน,Grassy lawn area in the home's yard,['reczE01VVn4mwhyWq'],"['recVy7GXi9WRTUJXO', 'recpLW8eqiBurotNf']"
recGjlhetPI8nd3Q4,2025-06-12T02:37:10.000Z,บิลค่าสาธารณูปโภค,Utility Bills,ใบแจ้งค่าใช้จ่ายค่าน้ำค่าไฟและสาธารณูปโภคอื่นๆ ของบ้าน,"Utility bills (water, electricity, etc.) for the home, used for record-keeping",['recoR13cvLTR3JwHv'],['recWAIeqPhaFLElGs']
recHfN5rd01bkfPbW,2025-06-12T02:37:10.000Z,เสาโครงสร้าง,Structural Column,เสาคอนกรีตหรือเหล็กที่รับน้ำหนักแนวตั้งของบ้าน,Structural column (concrete or steel) carrying vertical loads,['recpHxQ5BYfqHIDPZ'],"['recH02h0y1IQhBnYl', 'recVOJOQnB8qIgviw', 'rec5cItMuQaEmoEIa', 'recYAhwvpomV4qWLX']"
recIZDJm8CuFf9Zir,2025-06-12T02:37:10.000Z,แปรงขัดห้องน้ำ,Toilet Brush,แปรงสำหรับขัดล้างทำความสะอาดโถสุขภัณฑ์ในห้องน้ำ,Brush tool for scrubbing and cleaning the toilet bowl,['recOh6JGeldBqeZrk'],['rect30HUVNXuisHEo']
recJZGCKu5OHWRqwx,2025-06-12T02:37:10.000Z,ประตูสำหรับสัตว์เลี้ยง,Pet Door,ช่องประตูเล็กสำหรับให้สัตว์เลี้ยงเข้าออกบ้านได้เอง,Small door flap allowing pets to enter/exit the house independently,['reccrm58TbpqJ70q0'],['recyxgDCn49tohiLS']
recJuFySaJRewjnkv,2025-06-12T02:37:10.000Z,กระเบื้องมุงหลังคา,Roof Tile,กระเบื้องหลังคาสำหรับมุงหลังคาบ้าน,Roof tiles used to cover and protect the house roof,['recJf4LbHf2V6LcWD'],"['recVYKvvxXqkzKRJ3', 'rect7uqNcq3efZ4lj']"
recLaXjg5oJIk3cEM,2025-06-12T02:37:10.000Z,แอปพลิเคชันบริหารการเงิน,Finance Management App,แอปหรือซอฟต์แวร์ที่ใช้ในการวางแผนและติดตามงบประมาณรายจ่ายของบ้าน,Mobile app or software used to plan and track home budget and expenses,['recZqMJtCiLXWEq9A'],"['recazJxtMEOPlUCSi', 'recajNMfFtD8j2vVG']"
recLkEqyNFkzqA8GR,2025-06-12T02:37:10.000Z,สีน้ำ/สีน้ำมัน,House Paint,สีน้ำหรือสีน้ำมันสำหรับทาผนังบ้าน,Water-based or oil paint for painting house walls,['recVQYVQMIGODixim'],"['recj4DVW52tSyYMNS', 'recVlSVdEsqfrQ5fj', 'rec41KAyDUAF6qEa9', 'recwrMRo4ua9Q0EbV']"
recM5vN8Hg2Olho3l,2025-06-12T02:37:10.000Z,ต้นไม้ใหญ่,Shade Tree,ต้นไม้ขนาดใหญ่ให้ร่มเงาและตกแต่งภูมิทัศน์,Large tree providing shade and landscape decoration,['reczE01VVn4mwhyWq'],"['recTTfw8kqdOIYWSL', 'recAZyJBkIljH3C4E']"
recMHIfDjmuYU00OR,2025-06-12T02:37:10.000Z,ท่อระบายอากาศ,Ventilation Duct,ท่อหรือตัวช่องทางสำหรับหมุนเวียนอากาศ,Duct or passage for circulating and venting air,['recVtXvXZoA562Hwu'],"['recbuO3HzIiB8GQR7', 'recJTwFpsDoC5GWhn']"
recMrOlLqGgNEwoXH,2025-06-12T02:37:10.000Z,ก๊อกน้ำ,Faucet/Tap,ก๊อกน้ำสำหรับเปิด-ปิดการจ่ายน้ำ,Water faucet for controlling water flow,['rec9ArDSbCNYfNndQ'],['rec0MtyTgmKTfzd3B']
recNJ99g5TxQCmfP9,2025-06-12T02:37:10.000Z,กระบะทรายแมว,Cat Litter Box,กระบะสำหรับให้แมวขับถ่ายพร้อมวัสดุทรายแมว,"Tray for cats to urinate/defecate in, filled with litter material",['reccrm58TbpqJ70q0'],"['reczm4pdXlz5GwUJh', 'recwhMM2dWDJhNXsV']"
recNvxAb4HUjQa9AA,2025-06-12T02:37:10.000Z,ผนังรับน้ำหนัก,Load-Bearing Wall,ผนังที่เป็นส่วนหนึ่งของโครงสร้าง รับน้ำหนักหลังคาหรือพื้น,"Wall that is part of the structure, carrying roof or floor loads",['recpHxQ5BYfqHIDPZ'],"['recH02h0y1IQhBnYl', 'recVOJOQnB8qIgviw', 'rec5cItMuQaEmoEIa']"
recOGcLI5CrQdaheY,2025-06-12T02:37:10.000Z,กุญแจดิจิตอล,Digital Door Lock,ชุดล็อกประตูดิจิทัล ใช้รหัส/การ์ด/สแกนในการเปิด,Digital door lock system using code/card/fingerprint for entry,['recOHwqJYlLUe73zt'],['recao0Hufx3dgiBDN']
recOYygNptVtPRUyg,2025-06-12T02:37:10.000Z,ระบบรดน้ำสวน,Garden Irrigation System,ระบบท่อน้ำหรือสปริงเกลอร์สำหรับรดน้ำต้นไม้และสนามหญ้า,Network of hoses or sprinklers for watering plants and lawn,['reczE01VVn4mwhyWq'],"['recpLW8eqiBurotNf', 'recj7aXHGgIIuyUCi']"
recPW03b5PHyqxLvK,2025-06-12T02:37:10.000Z,ถุงขยะรีไซเคิล,Recycling Bags,ถุงหรือถังสำหรับรวบรวมวัสดุรีไซเคิลแยกตามประเภทเพื่อความสะดวกในการทิ้ง,Bags or bins used to collect sorted recyclables for convenient disposal,['rec9YcYCtM2ieKIJf'],['recfg0IZ2lzo380io']
recPhQqalFbWCWzZT,2025-06-12T02:37:10.000Z,เต้ารับ (ปลั๊กไฟ),Power Outlet,เต้ารับสำหรับต่อพ่วงเครื่องใช้ไฟฟ้า,Electrical outlet for plugging in appliances,['recLrzzeh8MwysftK'],"['recKnKDWPpAxDpYke', 'recxKrkswZtwLUw50', 'recxMaiB3w53VuaFg']"
recQpKCrLMuFqhQZN,2025-06-12T02:37:10.000Z,บานพับ,Hinge,บานพับสำหรับยึดและทำให้ประตู/หน้าต่างเปิดปิดได้,Hinge that attaches a door/window to frame and allows swinging,['recsXPvO3N0bCcrdI'],['rechw1ahgfmDI2YLY']
recRCklo0mRCXLOzr,2025-06-12T02:37:10.000Z,รางน้ำฝน,Gutter,รางรับน้ำฝนตามขอบหลังคาสำหรับระบายน้ำ,Gutter along roof edges to collect and channel rainwater,['recJf4LbHf2V6LcWD'],"['recZhVqg8FD5KLjMx', 'recaE1lpTFM3qcAzd', 'recxbiqdQp8VcjZOL']"
recRRMBzDOzcHqWvl,2025-06-12T02:37:10.000Z,ไม้ถูพื้น,Mop,ไม้ถูพื้นสำหรับทำความสะอาดพื้นด้วยน้ำหรือสารทำความสะอาด,Floor mop for wet cleaning of floors,['recOh6JGeldBqeZrk'],['recBCVrfACimQ8WIT']
recRWRuNqrGz331eG,2025-06-12T02:37:10.000Z,ภาชนะขยะอันตราย,Hazardous Waste Container,ภาชนะสำหรับเก็บขยะอันตรายเช่น แบตเตอรี่ หลอดไฟ เคมี ก่อนนำไปกำจัด,"Container for hazardous waste like batteries, bulbs, chemicals before safe disposal",['rec9YcYCtM2ieKIJf'],['recH392WIr5AXVBUe']
recTJwmPyawzQu2WQ,2025-06-12T02:37:10.000Z,ถังขยะ,Trash Bin,ถังหรือภาชนะสำหรับทิ้งขยะภายในบ้าน,Bin or container for disposing of household garbage,['recOh6JGeldBqeZrk'],"['rec0gtW3b1LnPkA6n', 'recbAkCxgHMtiqFIb', 'rec0Rp87rtsWA9AZf', 'rec0jqy6maUwn4p6I', 'recfIvMf1niXfJs1t']"
recTYNNq0xPUknM2F,2025-06-12T02:37:10.000Z,มุ้งลวดกันยุง,Mosquito Screen Netting,มุ้งหรือตาข่ายสำหรับปิดช่องเปิด เช่น ประตู หน้าต่าง ป้องกันยุงและแมลง,Screen or netting for covering openings like doors/windows to keep out mosquitoes and insects,['recw4QaCT2poaBn9I'],['recaO6dxe0HppKTbL']
recTynT3UT4HoukPF,2025-06-12T02:37:10.000Z,เครื่องตรวจจับควัน,Smoke Detector,อุปกรณ์ตรวจจับควันไฟเพื่อแจ้งเตือนไฟไหม้ภายในบ้าน,Smoke detector device to alert occupants of a fire by sensing smoke,['recOHwqJYlLUe73zt'],
recUq5hBrJKDYd2jP,2025-06-12T02:37:10.000Z,เหล็กเสริมโครงสร้าง,Reinforcing Steel (Rebar),เหล็กเส้นในคอนกรีตที่เพิ่มความแข็งแรงให้โครงสร้าง,Steel rebar embedded in concrete to reinforce structural strength,['recpHxQ5BYfqHIDPZ'],"['recH02h0y1IQhBnYl', 'recVOJOQnB8qIgviw', 'rec5cItMuQaEmoEIa', 'recYAhwvpomV4qWLX']"
recVh04C7JgeAYuIJ,2025-06-12T02:37:10.000Z,เซ็นเซอร์ประตู/หน้าต่าง,Door/Window Sensor,อุปกรณ์เซ็นเซอร์ตรวจจับการเปิด-ปิดของประตูหน้าต่างในระบบกันขโมย,Sensor device that detects door/window opening in an alarm system,['recOHwqJYlLUe73zt'],"['reciz7BtQ3BVYgD0F', 'recovG4v4P8CW7cYR', 'recsNXXLi2hsLjVqw']"
recXJH8RljDrmpHTC,2025-06-12T02:37:10.000Z,ตู้โหลดไฟ / เบรกเกอร์,Electrical Panel / Breaker,ตู้ควบคุมไฟฟ้าที่รวมเบรกเกอร์ป้องกันไฟเกิน,Electrical panel containing breakers to protect circuits,['recLrzzeh8MwysftK'],"['recKnKDWPpAxDpYke', 'recxKrkswZtwLUw50', 'recvq15EA1MRfi2BJ', 'recfEeF3Oc1Alph1C']"
recXkKJ7y4VlyUvTX,2025-06-12T02:37:10.000Z,เครื่องตัดหญ้า,Lawn Mower,เครื่องมือหรือเครื่องจักรสำหรับตัดหญ้าในสนาม,Tool or machine used to cut the grass on the lawn,['reczE01VVn4mwhyWq'],['recVy7GXi9WRTUJXO']
recY7qPJZphwOLdCp,2025-06-12T02:37:10.000Z,ถังขยะแยกประเภท,Recycling Bin,ถังสำหรับใส่วัสดุรีไซเคิล (พลาสติก แก้ว กระดาษ โลหะ) แยกจากขยะทั่วไป,"Bin designated for recyclable materials (plastic, glass, paper, metal) separate from general waste",['rec9YcYCtM2ieKIJf'],['recfg0IZ2lzo380io']
recYDdBX0oiyOFxUs,2025-06-12T02:37:10.000Z,แปรงทาสี/ลูกกลิ้ง,Paint Brushes/Rollers,อุปกรณ์แปรงและลูกกลิ้งสำหรับงานทาสี,Brushes and rollers used for painting work,['recVQYVQMIGODixim'],
recYeFOpmOTjBFmyW,2025-06-12T02:37:10.000Z,หน้าต่าง,Window Unit,บานหน้าต่าง (ไม้/อลูมิเนียม) พร้อมกรอบสำหรับรับแสงและระบายอากาศ,Window unit (wooden or aluminum) with frame for light and ventilation,['recsXPvO3N0bCcrdI'],"['rec5cItMuQaEmoEIa', 'recrd9rXbxrLmaLhs', 'receATgPFQqMo4dZC', 'reciqVFt5dhqWcA4N']"
recYjjXihzcV2bTfD,2025-06-12T02:37:10.000Z,สเปรย์ยาฆ่าแมลง,Insecticide Spray,กระป๋องสเปรย์ฉีดยาฆ่าแมลงสำหรับแมลงสาบ ยุง และแมลงอื่นๆ,"Aerosol insecticide spray for cockroaches, mosquitoes, and other insects",['recw4QaCT2poaBn9I'],"['recwsonYZMeRi75Dm', 'rec6xAp5iLGJdsEgu']"
recar9Kk6mAh7PvLU,2025-06-12T02:37:10.000Z,ไฟเซ็นเซอร์รักษาความปลอดภัย,Motion Security Light,ไฟตรวจจับความเคลื่อนไหว เปิดอัตโนมัติเมื่อมีคนผ่าน,Motion-activated security light that turns on when movement is detected,['recOHwqJYlLUe73zt'],['recJWRDdJTxjB4gAQ']
recauiNeP38WC8PNt,2025-06-12T02:37:10.000Z,ผ้าม่าน/มู่ลี่,Curtains/Blinds,ผ้าม่านหรือมู่ลี่สำหรับตกแต่งหน้าต่างและปรับแสง,Curtains or blinds for window decoration and light control,['recfXESPVeJYHAA2S'],"['rec281us7oEtid4a0', 'rec8Yg6hb6CDPQUfc']"
recc8HIUJeCiElzwF,2025-06-12T02:37:10.000Z,สาย LAN,Ethernet Cable,สายเคเบิล LAN สำหรับเชื่อมต่อเครือข่ายภายในบ้าน,Ethernet cable used to wire network connections in the home,['recgptAmFNpAIHWK6'],"['recxsjCTLDOFFbpNz', 'recewNHMZxNCOyNOp', 'recVcEAIUun7ko2Lz']"
reccPMS6d6Vd9RFxm,2025-06-12T02:37:10.000Z,คานโครงสร้าง,Structural Beam,คานคอนกรีตหรือเหล็กที่รับน้ำหนักและกระจายน้ำหนักระหว่างเสา,Structural beam (concrete or steel) that spans columns and carries load,['recpHxQ5BYfqHIDPZ'],"['recH02h0y1IQhBnYl', 'recVOJOQnB8qIgviw', 'rec5cItMuQaEmoEIa', 'recYAhwvpomV4qWLX']"
reccjBMFSOL61D58X,2025-06-12T02:37:10.000Z,กรง/บ้านสัตว์เลี้ยง,Pet Cage/House,กรงหรือบ้านจำลองสำหรับให้สัตว์เลี้ยงอยู่อาศัยหรือพักผ่อน,Cage or pet house providing a space for pets to stay or rest,['reccrm58TbpqJ70q0'],['recFXHzQglXNIwyQ7']
recdpkLaAfXYWQRUy,2025-06-12T02:37:10.000Z,แบบแปลนบ้าน,House Plan Documents,เอกสารแบบแปลนและผังการก่อสร้างบ้าน,House plan and construction drawing documents of the home,['recoR13cvLTR3JwHv'],['recWAIeqPhaFLElGs']
receBD6KCegm3kTz2,2025-06-12T02:37:10.000Z,แปรง/หวีสำหรับสัตว์เลี้ยง,Pet Grooming Brush,แปรงหรือหวีสำหรับแปรงขนสัตว์เลี้ยง ลดขนร่วงและดูแลขน,Brush or comb for grooming pet fur to reduce shedding and maintain coat health,['reccrm58TbpqJ70q0'],['recNwCG7roHmoR3vE']
recg6IRFv35K2qXUf,2025-06-12T02:37:10.000Z,ฐานราก,Foundation,ส่วนฐานรากของบ้านที่รองรับน้ำหนักโครงสร้าง,The foundation of the house that supports the structural load,['recpHxQ5BYfqHIDPZ'],"['recH02h0y1IQhBnYl', 'recVOJOQnB8qIgviw', 'rec5cItMuQaEmoEIa', 'recv5bGQjR6nxlngS', 'recPO2Z3SzOINNRGO']"
recg9Tn2qetMVoeCy,2025-06-12T02:37:10.000Z,ถังปุ๋ยหมัก,Compost Bin,ภาชนะหรือพื้นที่สำหรับหมักขยะอินทรีย์ทำปุ๋ย,Container or area for composting organic waste into fertilizer,['rec9YcYCtM2ieKIJf'],
recgJk3GK5sIMc7BD,2025-06-12T02:37:10.000Z,กรมธรรม์ประกันภัยบ้าน,Home Insurance Policy,เอกสารกรมธรรม์รายละเอียดความคุ้มครองประกันบ้าน,Insurance policy document detailing coverage for home insurance,['recoR13cvLTR3JwHv'],"['recWAIeqPhaFLElGs', 'recJXD3NfRNPjwQhr', 'recZubem63liuAbJL', 'recexPwZdWVvZfGQA']"
recgTtcJIa3YX7rrY,2025-06-12T02:37:10.000Z,วอลเปเปอร์,Wallpaper,วัสดุปิดผนังลวดลายต่างๆ สำหรับตกแต่งผนังภายใน,Patterned wall covering used to decorate interior walls,['recfXESPVeJYHAA2S'],"['rec281us7oEtid4a0', 'rech1LuvebY54oow5']"
recgeayw8QNZtk4jG,2025-06-12T02:37:10.000Z,วาล์วน้ำ,Water Valve,วาล์วสำหรับควบคุมการไหลของน้ำในระบบ,Valve for controlling water flow in the system,['rec9ArDSbCNYfNndQ'],['recVes6NAdwGS9CZU']
rech6FkFWRAmLkFki,2025-06-12T02:37:10.000Z,แผ่นรองซับฉี่สุนัข,Dog Pee Pad,แผ่นรองซับสำหรับฝึกสุนัขขับถ่ายหรือรองซับฉี่ในบ้าน,Absorbent pad used for house-training dogs or indoor urine absorption,['reccrm58TbpqJ70q0'],"['reczm4pdXlz5GwUJh', 'recwhMM2dWDJhNXsV']"
rechDQRDAzXgQrGnR,2025-06-12T02:37:10.000Z,สวิตช์เครือข่าย,Network Switch,สวิตช์สำหรับกระจายสายเครือข่ายไปยังอุปกรณ์หลายจุดในบ้าน,Network switch to distribute wired connections to multiple devices in the home,['recgptAmFNpAIHWK6'],"['recewNHMZxNCOyNOp', 'recVcEAIUun7ko2Lz']"
reciAfNDKhKNO292Z,2025-06-12T02:37:10.000Z,กับดักหนู,Rat Trap,กับดักสำหรับจับหรือฆ่าหนูที่เข้ามาในบ้าน,Trap used to catch or kill rodents that enter the house,['recw4QaCT2poaBn9I'],['recI5OmeM7Heiuziu']
reciPjowP662LnLuB,2025-06-12T02:37:10.000Z,สีรองพื้น,Primer,สีรองพื้นทาก่อนทาสีจริงเพื่อการยึดเกาะที่ดี,Primer applied before painting to ensure good adhesion,['recVQYVQMIGODixim'],"['recj4DVW52tSyYMNS', 'recVlSVdEsqfrQ5fj', 'rec41KAyDUAF6qEa9', 'recwrMRo4ua9Q0EbV']"
recjTiMtf85YWv6Nq,2025-06-12T02:37:10.000Z,คู่มือและใบรับประกันเครื่องใช้,Appliance Manuals & Warranties,คู่มือการใช้งานและใบประกันของเครื่องใช้ไฟฟ้า/อุปกรณ์ต่างๆ ในบ้าน,User manuals and warranty certificates for various home appliances and systems,['recoR13cvLTR3JwHv'],['recWAIeqPhaFLElGs']
reck5L4oCIRPzI5F6,2025-06-12T02:37:10.000Z,แผนงบประมาณดูแลบ้าน,Home Maintenance Budget Plan,เอกสารหรือไฟล์แผนจัดสรรงบประมาณสำหรับการดูแลบ้านรายปี,Document or file outlining the yearly budget allocation for home maintenance,['recZqMJtCiLXWEq9A'],"['rec9QehHoASk3FH7M', 'rec15o7HoTQ3PL5s7']"
reckUeh1OS2PeHugO,2025-06-12T02:37:10.000Z,สายไฟ,Wiring,สายไฟฟ้าภายในบ้านสำหรับจ่ายกระแสไฟ,Electrical wires for distributing current throughout the home,['recLrzzeh8MwysftK'],"['recKnKDWPpAxDpYke', 'recxKrkswZtwLUw50', 'recvq15EA1MRfi2BJ', 'recQsQqNwmLxPYfAr']"
reckhl3fbypXCnJS1,2025-06-12T02:37:10.000Z,พื้นคอนกรีต,Concrete Slab/Floor,พื้นคอนกรีตของบ้าน (ชั้นล่างหรือชั้นบน) ที่รับน้ำหนักการใช้งาน,Concrete slab floor of the house supporting use and furnishings,['recpHxQ5BYfqHIDPZ'],"['recH02h0y1IQhBnYl', 'recVOJOQnB8qIgviw', 'rec5cItMuQaEmoEIa']"
